method,agent,source_type,point_idx,x,y
ego_movebase,robot1,plan,0,-4.974999895319343,-2.9749998655170202
ego_movebase,robot1,plan,1,-3.0249998662620783,-4.0249998811632395
movebase,robot2,plan,0,-2.72499986179173,-1.5249998439103365
movebase,robot2,plan,1,-2.774999862536788,-1.5749998446553946
movebase,robot2,plan,2,-3.0249998662620783,-4.0249998811632395
diffusion,robot2,plan,0,-2.700027428530609,-1.5001664824393652
diffusion,robot2,plan,1,-2.727354230670088,-1.5385924795383525
diffusion,robot2,plan,2,-2.827143056542182,-1.6474197861214492
diffusion,robot2,plan,3,-2.927545493061823,-1.7576556159914765
diffusion,robot2,plan,4,-3.025948705739545,-1.8660094249410448
diffusion,robot2,plan,5,-3.126717605856487,-1.974069126933112
diffusion,robot2,plan,6,-3.2258613981771833,-2.082124825377528
diffusion,robot2,plan,7,-3.3255203406449887,-2.1900005245283745
diffusion,robot2,plan,8,-3.4246538813484304,-2.2965549297337895
diffusion,robot2,plan,9,-3.522827044380111,-2.403983331589381
diffusion,robot2,plan,10,-3.621849865320135,-2.5113090131223075
diffusion,robot2,plan,11,-3.7211050511902277,-2.61783987863929
diffusion,robot2,plan,12,-3.8205975641180667,-2.724603796630567
diffusion,robot2,plan,13,-3.9207720900704937,-2.832114310255044
diffusion,robot2,plan,14,-4.020017354428299,-2.9381151616441357
diffusion,robot2,plan,15,-4.118575129026752,-3.0436561820459103
diffusion,robot2,plan,16,-4.231305885651884,-3.118761407484769
unconditional_diffusion,robot2,plan,0,-2.700027614837153,-1.500167646838416
unconditional_diffusion,robot2,plan,1,-2.7220619225255747,-1.5259479900315114
unconditional_diffusion,robot2,plan,2,-2.816188937800648,-1.6303077112468731
unconditional_diffusion,robot2,plan,3,-2.9155131348001855,-1.7344409661659634
unconditional_diffusion,robot2,plan,4,-3.013955278245107,-1.8400590426457117
unconditional_diffusion,robot2,plan,5,-3.108847068534276,-1.9542327540355966
unconditional_diffusion,robot2,plan,6,-3.2046004705553495,-2.069164383995875
unconditional_diffusion,robot2,plan,7,-3.30342786039917,-2.1852852130881675
unconditional_diffusion,robot2,plan,8,-3.40215058901765,-2.3054844555664467
unconditional_diffusion,robot2,plan,9,-3.5055390420992434,-2.4302613323821545
unconditional_diffusion,robot2,plan,10,-3.6066459160885236,-2.5567664293481855
unconditional_diffusion,robot2,plan,11,-3.716238325937512,-2.6632642809842584
unconditional_diffusion,robot2,plan,12,-3.8295979364682617,-2.7686186696692827
unconditional_diffusion,robot2,plan,13,-3.957129416084197,-2.8483029563860582
unconditional_diffusion,robot2,plan,14,-4.079327993686083,-2.9364170569494825
unconditional_diffusion,robot2,plan,15,-4.191363697058367,-3.0505149255192396
unconditional_diffusion,robot2,plan,16,-4.31132572244359,-3.13809171627657
rule_based,robot2,odom,0,-2.700000090188877,-1.5000089805714238
rule_based,robot2,odom,1,-2.722270690038547,-1.5474251072996394
rule_based,robot2,odom,2,-2.761544265615317,-1.63727990688025
rule_based,robot2,odom,3,-2.7906049946248475,-1.6791033809453186
rule_based,robot2,odom,4,-2.819612581515437,-1.7185291995580525
rule_based,robot2,odom,5,-2.8534462451853337,-1.7574258455558756
rule_based,robot2,odom,6,-2.881497013386248,-1.7968917478366346
rule_based,robot2,odom,7,-2.9126648532689217,-1.8342696029078531
rule_based,robot2,odom,8,-2.9454786478170334,-1.8699639684712723
rule_based,robot2,odom,9,-2.9797411330969603,-1.9047827646205515
rule_based,robot2,odom,10,-3.015868127759271,-1.9390823663014602
rule_based,robot2,odom,11,-3.0516300201835445,-1.9734839212367057
rule_based,robot2,odom,12,-3.0878432007889414,-2.0072958830763117
rule_based,robot2,odom,13,-3.1257507575445254,-2.0400774269255897
rule_based,robot2,odom,14,-3.164343413205954,-2.070572890688939
rule_based,robot2,odom,15,-3.203311922379637,-2.1029082097861123
rule_based,robot2,odom,16,-3.241463439033999,-2.133887761958521
rule_based,robot2,odom,17,-3.279788336001024,-2.166445687954894
rule_based,robot2,odom,18,-3.317026261244743,-2.1985684753636394
rule_based,robot2,odom,19,-3.355243926965433,-2.2310828174117217
rule_based,robot2,odom,20,-3.392753871736256,-2.263331317465779
rule_based,robot2,odom,21,-3.4310917875682474,-2.295959674608474
rule_based,robot2,odom,22,-3.4687847289596734,-2.328303190836233
rule_based,robot2,odom,23,-3.5068797518629844,-2.360852493395794
rule_based,robot2,odom,24,-3.5448258419138092,-2.3934298938574425
rule_based,robot2,odom,25,-3.5827686013261846,-2.425955929445068
rule_based,robot2,odom,26,-3.620847661376163,-2.4587728009379486
rule_based,robot2,odom,27,-3.658641606183865,-2.491043716046518
rule_based,robot2,odom,28,-3.6967613853175094,-2.523830760666641
rule_based,robot2,odom,29,-3.7725082117579585,-2.589040176343309
rule_based,robot2,odom,30,-3.8100908184263904,-2.621538385671121
rule_based,robot2,odom,31,-3.8481253372894764,-2.654356623621379
rule_based,robot2,odom,32,-3.885985090521412,-2.6869475897175663
rule_based,robot2,odom,33,-3.923749985925813,-2.719335966335194
rule_based,robot2,odom,34,-3.9610956037510245,-2.752197705185613
rule_based,robot2,odom,35,-3.998614057049335,-2.784970390119512
rule_based,robot2,odom,36,-4.03520096055915,-2.81876183733247
rule_based,robot2,odom,37,-4.071069048715894,-2.8529429182666775
rule_based,robot2,odom,38,-4.106292426326578,-2.888332249885875
rule_based,robot2,odom,39,-4.138719548849353,-2.9243010337542747
rule_based,robot2,odom,40,-4.165146253442914,-2.9677366923334274
rule_based,robot2,odom,41,-4.1793708562936684,-3.0187116240568663
rule_based,robot2,odom,42,-4.187124794313705,-3.069206946150179
rule_based,robot2,odom,43,-4.192205515394126,-3.1207457698934413
rule_based,robot2,odom,44,-4.1957588972470266,-3.170622030284332
rule_based,robot2,odom,45,-4.196861941042397,-3.2157277379377094
rule_based,robot2,odom,46,-4.212106385676215,-3.254099265362242
rule_based,robot2,odom,47,-4.207014926984648,-3.3158834588069546
rule_based,robot2,odom,48,-4.198495952804119,-3.3653739635708515
rule_based,robot2,odom,49,-4.1816953394359055,-3.4049849491440445
rule_based,robot2,odom,50,-4.1617904614829415,-3.4521471984241536
rule_based,robot2,odom,51,-4.13484491306716,-3.482193477058753
rule_based,robot2,odom,52,-4.103984652888625,-3.520817875950362
rule_based,robot2,odom,53,-4.075939926434211,-3.5556068717345046
rule_based,robot2,odom,54,-4.038974520234156,-3.5908079701264675
rule_based,robot2,odom,55,-3.9935481958145997,-3.615834197712784
rule_based,robot2,odom,56,-3.949173009134172,-3.6382723312432272
rule_based,robot2,odom,57,-3.9018608537054327,-3.6556908863063393
rule_based,robot2,odom,58,-3.861329928652596,-3.674220745885136
rule_based,robot2,odom,59,-3.7732179848673857,-3.6995404346965794
rule_based,robot2,odom,60,-3.73325077957674,-3.718140269822402
rule_based,robot2,odom,61,-3.6828311811729577,-3.7236306424645518
rule_based,robot2,odom,62,-3.636174940264132,-3.7315566902383757
rule_based,robot2,odom,63,-3.591791510242966,-3.7362119450506452
rule_based,robot2,odom,64,-3.544303845723427,-3.7361212379558495
rule_based,robot2,odom,65,-3.4975623917072443,-3.728815051817009
rule_based,robot2,odom,66,-3.4528298237753487,-3.737536080888524
rule_based,robot2,odom,67,-3.4147354337225506,-3.733110293742804
